title,sentiment_polarity
Gallery unveils interactive tree,0
Jarre joins fairytale celebration,0
Musical treatment for Capra film,0
Richard and Judy choose top books,0
Poppins musical gets flying start,1
Bennett play takes theatre prizes,1
Levy tipped for Whitbread prize,1
West End to honour finest shows,1
Da Vinci Code is 'lousy history',-1
Uganda bans Vagina Monologues,-1
Artists' secret postcards on sale,0
Neeson in bid to revive theatre,0
Levy takes Whitbread novel prize,1
Adventure tale tops awards,1
Mutant book wins Guardian prize,1
Arthur Hailey: King of the bestsellers,1
Spark heads world Booker list,1
Versace art portfolio up for sale,0
Slater to star in Broadway play,0
Public show for Reynolds portrait,0
Obituary: Dame Alicia Markova,-1
Fears raised over ballet future,-1
Famed music director Viotti dies,-1
Paraguay novel wins US book prize,1
New Harry Potter tops book chart,1
UK's National Gallery in the pink,0
Lit Idol begins search for author,0
Potter director signs Warner deal,0
Baghdad Blogger on big screen,0
US critics laud comedy Sideways,1
Dirty Den's demise seen by 14m,-1
Redford's vision of Sundance,0
DVD review: Harry Potter and the Prisoner of Azkaban,0
Vera Drake scoops film award,1
Hundreds vie for best film Oscar,0
Hanks greeted at wintry premiere,0
Film row over Pirates 'cannibals',0
Stars gear up for Bafta ceremony,0
Aviator 'creator' in Oscars snub,0
Wine comedy up for six film gongs,0
No ads for Passion Oscar campaign,0
Berlin honours S Korean director,1
Stars pay tribute to actor Davis,1
US actor Ossie Davis found dead,-1
Jugnot 'tops French actor league',1
Howl helps boost Japan's cinemas,1
Berlin applauds Hotel Rwanda,1
Landmark movies' of 2004 hailed,1
De Niro film leads US box office,1
Willis sues over movie 'injury',-1
Foxx and Swank win US awards,1
Spike Lee backs student directors,1
Horror film heads US box office,1
Mumbai bombs movie postponed,-1
"DVD review: I, Robot",0
Brando 'rejected Godfather role',-1
Dutch watch Van Gogh's last film,1
Berlin hails European cinema,1
Sky takes over Oscar night mantle,1
Snicket tops US box office chart,1
Director Nair's Vanity project,0
Spirit awards hail Sideways,1
Tautou film tops Cesar prize nods,1
Hollywood ready for Oscars night,0
Animation charms Japan box office,1
US box office set for record high,1
Low-budget film wins Cesar,1
Tautou 'to star in Da Vinci film',0
Foxx and Swank take actors awards,1
Children vote Shrek 2 best film,1
UK debut for Kevin Spacey movie,0
Box office blow for Alexander,-1
Ray DVD beats box office takings,1
Ocean's Twelve raids box office,-1
Indie film nominations announced,0
Fockers fuel festive film chart,1
DVD review: Spider-Man 2,0
Baby becomes new Oscar favourite,1
Russian film wins BBC world prize,1
US TV cuts nudity from BBC film,0
